Episode    100  |  Step  1.9  |  Score   20.6  |  Loss   nan  |  Eps  1.00  |  Q   nan  |  Rem 1.56
Episode   8500  |  Step  2.0  |  Score   18.9  |  Loss 0.088  |  Eps  0.89  |  Q  97.8  |  Rem 1.63
Episode   8600  |  Step  2.1  |  Score   22.5  |  Loss 0.078  |  Eps  0.89  |  Q  97.9  |  Rem 1.51
Episode   8700  |  Step  2.0  |  Score   22.2  |  Loss 0.080  |  Eps  0.89  |  Q  97.7  |  Rem 1.53
Episode   8800  |  Step  2.1  |  Score   30.4  |  Loss 0.069  |  Eps  0.89  |  Q  97.8  |  Rem 1.57
Episode   8900  |  Step  2.1  |  Score   32.2  |  Loss 0.098  |  Eps  0.89  |  Q  97.9  |  Rem 1.51
Episode   9000  |  Step  2.0  |  Score   25.4  |  Loss 0.095  |  Eps  0.89  |  Q  97.9  |  Rem 1.47
Episode   9100  |  Step  2.1  |  Score   29.0  |  Loss 0.099  |  Eps  0.89  |  Q  97.9  |  Rem 1.59
Episode   9200  |  Step  2.0  |  Score   25.0  |  Loss 0.087  |  Eps  0.89  |  Q  98.0  |  Rem 1.55
Episode   9300  |  Step  2.0  |  Score   28.9  |  Loss 0.097  |  Eps  0.88  |  Q  98.0  |  Rem 1.57
Episode   9400  |  Step  2.0  |  Score   30.8  |  Loss 0.088  |  Eps  0.88  |  Q  98.1  |  Rem 1.51
Episode   9500  |  Step  1.9  |  Score   31.3  |  Loss 0.090  |  Eps  0.88  |  Q  98.1  |  Rem 1.40
Episode   9600  |  Step  1.9  |  Score   25.1  |  Loss 0.088  |  Eps  0.88  |  Q  98.1  |  Rem 1.51
Episode   9700  |  Step  1.8  |  Score   39.9  |  Loss 0.080  |  Eps  0.88  |  Q  98.2  |  Rem 1.35
Episode   9800  |  Step  2.0  |  Score   20.4  |  Loss 0.087  |  Eps  0.88  |  Q  98.2  |  Rem 1.60
Episode   9900  |  Step  2.0  |  Score   30.5  |  Loss 0.049  |  Eps  0.88  |  Q  98.2  |  Rem 1.55
Episode  10000  |  Step  2.3  |  Score   26.2  |  Loss 0.048  |  Eps  0.88  |  Q  98.1  |  Rem 1.61
Episode  10100  |  Step  2.0  |  Score   31.8  |  Loss 0.045  |  Eps  0.88  |  Q  98.2  |  Rem 1.56
Episode  10200  |  Step  2.1  |  Score   35.3  |  Loss 0.044  |  Eps  0.87  |  Q  98.2  |  Rem 1.47
Episode  10300  |  Step  2.0  |  Score   26.6  |  Loss 0.041  |  Eps  0.87  |  Q  98.3  |  Rem 1.51
Episode  10400  |  Step  2.0  |  Score   32.6  |  Loss 0.039  |  Eps  0.87  |  Q  98.5  |  Rem 1.43
Episode  10500  |  Step  2.0  |  Score   38.9  |  Loss 0.038  |  Eps  0.87  |  Q  98.5  |  Rem 1.32
Episode  10600  |  Step  2.2  |  Score   22.0  |  Loss 0.036  |  Eps  0.87  |  Q  98.6  |  Rem 1.60
Episode  10700  |  Step  2.0  |  Score   33.8  |  Loss 0.033  |  Eps  0.87  |  Q  98.5  |  Rem 1.47
Episode  10800  |  Step  2.1  |  Score   31.5  |  Loss 0.036  |  Eps  0.87  |  Q  98.5  |  Rem 1.63
Episode  10900  |  Step  2.0  |  Score   22.5  |  Loss 0.034  |  Eps  0.87  |  Q  98.4  |  Rem 1.49
Episode  11000  |  Step  2.1  |  Score   26.7  |  Loss 0.034  |  Eps  0.86  |  Q  98.3  |  Rem 1.49
Episode  11100  |  Step  2.0  |  Score   30.6  |  Loss 0.031  |  Eps  0.86  |  Q  98.3  |  Rem 1.53
Episode  11200  |  Step  2.0  |  Score   39.2  |  Loss 0.030  |  Eps  0.86  |  Q  98.5  |  Rem 1.49
Episode  11300  |  Step  1.9  |  Score   31.1  |  Loss 0.033  |  Eps  0.86  |  Q  98.6  |  Rem 1.44
Episode  11400  |  Step  1.9  |  Score   28.7  |  Loss 0.030  |  Eps  0.86  |  Q  98.6  |  Rem 1.36
Episode  11500  |  Step  1.8  |  Score   32.6  |  Loss 0.030  |  Eps  0.86  |  Q  98.7  |  Rem 1.40
Episode  11600  |  Step  1.9  |  Score   34.1  |  Loss 0.030  |  Eps  0.86  |  Q  98.7  |  Rem 1.40
Episode  11700  |  Step  1.9  |  Score   27.1  |  Loss 0.030  |  Eps  0.86  |  Q  98.7  |  Rem 1.40
Episode  11800  |  Step  1.9  |  Score   33.9  |  Loss 0.029  |  Eps  0.85  |  Q  98.8  |  Rem 1.44
Episode  11900  |  Step  1.9  |  Score   34.4  |  Loss 0.027  |  Eps  0.85  |  Q  98.8  |  Rem 1.35
Episode  12000  |  Step  2.1  |  Score   21.5  |  Loss 0.026  |  Eps  0.85  |  Q  98.7  |  Rem 1.43
Episode  12100  |  Step  1.9  |  Score   34.0  |  Loss 0.028  |  Eps  0.85  |  Q  98.6  |  Rem 1.41
Episode  12200  |  Step  1.8  |  Score   29.4  |  Loss 0.028  |  Eps  0.85  |  Q  98.5  |  Rem 1.47
Episode  12300  |  Step  1.9  |  Score   38.0  |  Loss 0.027  |  Eps  0.85  |  Q  98.5  |  Rem 1.45
Episode  12400  |  Step  1.9  |  Score   35.6  |  Loss 0.026  |  Eps  0.85  |  Q  98.5  |  Rem 1.39
Episode  12500  |  Step  2.1  |  Score   38.6  |  Loss 0.025  |  Eps  0.85  |  Q  98.5  |  Rem 1.37
Episode  12600  |  Step  1.9  |  Score   32.7  |  Loss 0.023  |  Eps  0.84  |  Q  98.4  |  Rem 1.40
Episode  12700  |  Step  2.1  |  Score   33.4  |  Loss 0.025  |  Eps  0.84  |  Q  98.5  |  Rem 1.55
Episode  12800  |  Step  2.0  |  Score   32.5  |  Loss 0.024  |  Eps  0.84  |  Q  98.5  |  Rem 1.44
Episode  12900  |  Step  2.1  |  Score   25.0  |  Loss 0.025  |  Eps  0.84  |  Q  98.6  |  Rem 1.55
Episode  13000  |  Step  1.9  |  Score   43.9  |  Loss 0.025  |  Eps  0.84  |  Q  98.7  |  Rem 1.40
Episode  13100  |  Step  2.0  |  Score   31.9  |  Loss 0.025  |  Eps  0.84  |  Q  98.6  |  Rem 1.55
Episode  13200  |  Step  1.8  |  Score   40.3  |  Loss 0.022  |  Eps  0.84  |  Q  98.6  |  Rem 1.52
Episode  13300  |  Step  2.0  |  Score   20.9  |  Loss 0.023  |  Eps  0.84  |  Q  98.6  |  Rem 1.52
Episode  13400  |  Step  1.9  |  Score   36.1  |  Loss 0.024  |  Eps  0.83  |  Q  98.6  |  Rem 1.53
Episode  13500  |  Step  2.0  |  Score   39.3  |  Loss 0.025  |  Eps  0.83  |  Q  98.7  |  Rem 1.48
Episode  13600  |  Step  1.9  |  Score   28.3  |  Loss 0.023  |  Eps  0.83  |  Q  98.6  |  Rem 1.43
Episode  13700  |  Step  1.9  |  Score   25.1  |  Loss 0.023  |  Eps  0.83  |  Q  98.4  |  Rem 1.51
Episode  13800  |  Step  2.0  |  Score   35.2  |  Loss 0.023  |  Eps  0.83  |  Q  98.5  |  Rem 1.45
Episode  13900  |  Step  1.8  |  Score   40.2  |  Loss 0.023  |  Eps  0.83  |  Q  98.3  |  Rem 1.31
Episode  14000  |  Step  2.1  |  Score   24.5  |  Loss 0.023  |  Eps  0.83  |  Q  98.2  |  Rem 1.64
Episode  14100  |  Step  2.7  |  Score   25.3  |  Loss 0.091  |  Eps  0.83  |  Q  98.0  |  Rem 1.84
Episode  14200  |  Step  2.3  |  Score   20.8  |  Loss 0.224  |  Eps  0.82  |  Q  98.2  |  Rem 1.59
Episode  14300  |  Step  2.5  |  Score   25.7  |  Loss 0.389  |  Eps  0.82  |  Q  98.1  |  Rem 1.72
Episode  14400  |  Step  2.7  |  Score   26.9  |  Loss 0.493  |  Eps  0.82  |  Q  98.1  |  Rem 1.79
Episode  14500  |  Step  2.6  |  Score   17.6  |  Loss 0.631  |  Eps  0.82  |  Q  98.1  |  Rem 1.71
Episode  14600  |  Step  2.5  |  Score   25.7  |  Loss 0.747  |  Eps  0.82  |  Q  97.7  |  Rem 1.73
Episode  14700  |  Step  2.7  |  Score   13.4  |  Loss 0.760  |  Eps  0.82  |  Q  97.7  |  Rem 1.95
Episode  14800  |  Step  2.7  |  Score   26.6  |  Loss 0.915  |  Eps  0.82  |  Q  97.8  |  Rem 1.85
Episode  14900  |  Step  2.5  |  Score   13.6  |  Loss 0.958  |  Eps  0.82  |  Q  97.9  |  Rem 1.89
Episode  15000  |  Step  2.4  |  Score   27.6  |  Loss 0.924  |  Eps  0.81  |  Q  97.7  |  Rem 1.63
Episode  15100  |  Step  2.6  |  Score   24.0  |  Loss 0.973  |  Eps  0.81  |  Q  97.4  |  Rem 1.80
Episode  15200  |  Step  2.6  |  Score   20.1  |  Loss 0.975  |  Eps  0.81  |  Q  97.3  |  Rem 1.75
Episode  15300  |  Step  2.4  |  Score   32.1  |  Loss 1.090  |  Eps  0.81  |  Q  97.0  |  Rem 1.59
Episode  15400  |  Step  2.6  |  Score   24.1  |  Loss 1.161  |  Eps  0.81  |  Q  96.9  |  Rem 1.77
Episode  15500  |  Step  2.5  |  Score   26.0  |  Loss 1.103  |  Eps  0.81  |  Q  97.0  |  Rem 1.68
Episode  15600  |  Step  2.4  |  Score   23.0  |  Loss 1.201  |  Eps  0.81  |  Q  97.0  |  Rem 1.69
Episode  15700  |  Step  2.5  |  Score   25.8  |  Loss 1.241  |  Eps  0.81  |  Q  97.1  |  Rem 1.72
Episode  15800  |  Step  2.4  |  Score   35.6  |  Loss 1.293  |  Eps  0.80  |  Q  96.7  |  Rem 1.69
Episode  15900  |  Step  2.6  |  Score   28.9  |  Loss 1.196  |  Eps  0.80  |  Q  96.1  |  Rem 1.68
Episode  16000  |  Step  2.4  |  Score   22.0  |  Loss 1.125  |  Eps  0.80  |  Q  95.8  |  Rem 1.64
Episode  16100  |  Step  2.6  |  Score   29.2  |  Loss 1.259  |  Eps  0.80  |  Q  95.9  |  Rem 1.63
Episode  16200  |  Step  2.5  |  Score   21.5  |  Loss 1.268  |  Eps  0.80  |  Q  95.8  |  Rem 1.72
Episode  16300  |  Step  2.7  |  Score   28.3  |  Loss 1.217  |  Eps  0.80  |  Q  95.7  |  Rem 1.80
Episode  16400  |  Step  2.3  |  Score   20.7  |  Loss 1.223  |  Eps  0.80  |  Q  95.5  |  Rem 1.60
Episode  16500  |  Step  2.3  |  Score   22.3  |  Loss 1.180  |  Eps  0.80  |  Q  95.4  |  Rem 1.81
Episode  16600  |  Step  2.7  |  Score   21.0  |  Loss 1.290  |  Eps  0.79  |  Q  94.9  |  Rem 1.84
Episode  16700  |  Step  2.4  |  Score   35.9  |  Loss 1.254  |  Eps  0.79  |  Q  94.9  |  Rem 1.65
Episode  16800  |  Step  2.4  |  Score   29.4  |  Loss 1.211  |  Eps  0.79  |  Q  94.5  |  Rem 1.80
Episode  16900  |  Step  2.8  |  Score   21.3  |  Loss 1.313  |  Eps  0.79  |  Q  94.6  |  Rem 1.81
Episode  17000  |  Step  2.4  |  Score   18.4  |  Loss 1.289  |  Eps  0.79  |  Q  94.6  |  Rem 1.77
Episode  17100  |  Step  2.7  |  Score   28.7  |  Loss 1.374  |  Eps  0.79  |  Q  94.8  |  Rem 1.72
Episode  17200  |  Step  2.8  |  Score   11.3  |  Loss 1.365  |  Eps  0.79  |  Q  94.9  |  Rem 1.85
Episode  17300  |  Step  2.4  |  Score   32.8  |  Loss 1.450  |  Eps  0.79  |  Q  94.5  |  Rem 1.71
Episode  17400  |  Step  2.5  |  Score   27.6  |  Loss 1.348  |  Eps  0.78  |  Q  94.6  |  Rem 1.88
Episode  17500  |  Step  2.6  |  Score   26.9  |  Loss 1.291  |  Eps  0.78  |  Q  94.9  |  Rem 1.77
Episode  17600  |  Step  2.3  |  Score   27.6  |  Loss 1.455  |  Eps  0.78  |  Q  94.9  |  Rem 1.63
Episode  17700  |  Step  2.5  |  Score   31.5  |  Loss 1.339  |  Eps  0.78  |  Q  95.2  |  Rem 1.69
Episode  17800  |  Step  2.3  |  Score   28.7  |  Loss 1.353  |  Eps  0.78  |  Q  95.0  |  Rem 1.67
Episode  17900  |  Step  2.6  |  Score   14.7  |  Loss 1.340  |  Eps  0.78  |  Q  95.0  |  Rem 1.72
Episode  18000  |  Step  2.4  |  Score   27.4  |  Loss 1.404  |  Eps  0.78  |  Q  95.2  |  Rem 1.67
Episode  18100  |  Step  2.4  |  Score   14.4  |  Loss 1.366  |  Eps  0.78  |  Q  95.2  |  Rem 1.73
Episode  18200  |  Step  2.6  |  Score   33.0  |  Loss 1.365  |  Eps  0.77  |  Q  95.1  |  Rem 1.69
Episode  18300  |  Step  2.5  |  Score   25.5  |  Loss 1.314  |  Eps  0.77  |  Q  95.0  |  Rem 1.77
Episode  18400  |  Step  2.4  |  Score   29.1  |  Loss 1.401  |  Eps  0.77  |  Q  95.4  |  Rem 1.63
Episode  18500  |  Step  2.4  |  Score   37.6  |  Loss 1.295  |  Eps  0.77  |  Q  95.5  |  Rem 1.60
Episode  18600  |  Step  2.6  |  Score   28.2  |  Loss 1.367  |  Eps  0.77  |  Q  95.7  |  Rem 1.80
Episode  18700  |  Step  2.5  |  Score   23.8  |  Loss 1.420  |  Eps  0.77  |  Q  95.6  |  Rem 1.81
Episode  18800  |  Step  2.6  |  Score   19.5  |  Loss 1.346  |  Eps  0.77  |  Q  95.2  |  Rem 1.85
Episode  18900  |  Step  2.2  |  Score   27.4  |  Loss 1.396  |  Eps  0.77  |  Q  95.0  |  Rem 1.63
Episode  19000  |  Step  2.7  |  Score   31.5  |  Loss 1.473  |  Eps  0.76  |  Q  95.2  |  Rem 1.73
Episode  19100  |  Step  2.7  |  Score   35.9  |  Loss 1.336  |  Eps  0.76  |  Q  95.4  |  Rem 1.69
